70	150	
300		
3	3	1
17	3	1
21	9	1
2	3	1
2	11	1
2	3	1
3	3	1
31	17	1
2	2	1
2	3	1
20	3	1
2	3	1
2	3	1
70	4	1
5	4	1
23	2	1
5	3	1
2	12	1
2	3	1
2	3	1
7	2	1
2	3	1
5	16	1
2	2	1
15	6	1
3	4	1
3	2	1
2	3	1
2	5	1
2	10	1
2	3	1
3	2	1
2	3	1
3	2	1
3	3	1
2	5	1
2	3	1
2	2	1
12	14	1
2	3	1
3	30	1
3	3	1
2	3	1
2	3	1
8	3	1
4	2	1
2	3	1
2	2	1
24	7	1
3	3	1
3	20	1
2	5	1
3	3	1
2	2	1
3	2	1
7	3	1
2	3	1
10	11	1
5	4	1
3	2	1
3	2	1
38	3	1
48	2	1
2	5	1
6	2	1
3	3	1
8	16	1
2	3	1
2	3	1
3	2	1
15	2	1
15	6	1
2	3	1
2	3	1
3	3	1
3	2	1
19	23	1
3	2	1
3	2	1
2	2	1
2	3	1
19	19	1
3	2	1
2	5	1
2	3	1
3	3	1
2	3	1
3	2	1
3	3	1
4	11	1
2	3	1
2	3	1
3	3	1
2	3	1
3	5	1
2	2	1
2	3	1
2	2	1
4	6	1
5	3	1
3	17	1
3	2	1
2	2	1
63	3	1
2	2	1
2	2	1
4	3	1
3	2	1
8	2	1
4	3	1
3	10	1
3	2	1
3	2	1
2	2	1
2	2	1
2	2	1
3	3	1
2	23	1
2	3	1
2	3	1
18	2	1
2	3	1
3	2	1
2	3	1
3	3	1
70	7	1
2	3	1
32	6	1
4	2	1
4	2	1
2	7	1
2	3	1
2	2	1
15	17	1
3	2	1
2	3	1
2	2	1
3	3	1
3	2	1
30	4	1
21	3	1
3	3	1
2	2	1
2	3	1
3	3	1
3	5	1
3	3	1
3	3	1
27	4	1
3	3	1
2	2	1
2	2	1
9	9	1
4	4	1
3	3	1
3	3	1
2	2	1
2	2	1
7	7	1
2	2	1
23	23	1
18	18	1
3	3	1
4	4	1
3	3	1
10	10	1
8	8	1
10	10	1
2	2	1
5	5	1
3	3	1
3	3	1
2	2	1
5	5	1
5	5	1
3	3	1
6	9	1
3	2	1
2	13	1
3	2	1
2	2	1
2	3	1
15	2	1
2	2	1
2	3	1
2	2	1
2	2	1
3	4	1
3	3	1
24	2	1
4	13	1
3	16	1
26	6	1
2	2	1
3	2	1
2	3	1
5	11	1
70	5	1
3	5	1
2	2	1
2	3	1
2	3	1
3	3	1
2	2	1
6	17	1
3	5	1
3	2	1
2	2	1
4	2	1
3	2	1
2	7	1
10	4	1
3	2	1
2	2	1
2	3	1
4	3	1
2	3	1
3	2	1
3	3	1
3	3	1
6	16	1
2	2	1
2	2	1
25	2	1
2	2	1
2	2	1
3	3	1
8	4	1
9	3	1
9	2	1
8	2	1
6	2	1
2	4	1
2	3	1
8	3	1
10	2	1
3	6	1
30	5	1
3	2	1
10	3	1
3	4	1
2	2	1
3	2	1
5	2	1
7	3	1
3	4	1
2	2	1
3	3	1
12	4	1
2	2	1
2	6	1
3	3	1
11	4	1
5	5	1
9	5	1
4	6	1
13	17	1
2	2	1
2	14	1
14	17	1
3	3	1
3	8	1
27	2	1
10	21	1
2	4	1
6	2	1
21	2	1
4	2	1
2	4	1
7	3	1
2	3	1
3	2	1
3	2	1
19	5	1
10	4	1
32	10	1
3	3	1
2	2	1
2	3	1
2	2	1
3	12	1
3	9	1
2	5	1
14	17	1
12	2	1
2	2	1
11	4	1
3	4	1
3	3	1
7	3	1
2	3	1
3	2	1
4	3	1
3	2	1
16	2	1
5	5	1
4	11	1
5	17	1
3	4	1
2	4	1
